# Time (s),Altitude AGL (m),Speed - Velocity Magnitude (m/s),acceleration Magnitude (m/s²),Pressure (Pa)
0.000000,0.000000,0.000000,0.000000,100000.000000
0.002467,0.000000,0.000000,-0.000000,100000.000000
0.004935,0.000000,0.000000,0.000000,100000.000000
0.009870,-0.000000,-0.000000,-0.000000,100000.000000
0.014805,0.000010,0.004178,1.693426,100000.000000
0.019740,0.000057,0.014812,2.616030,100000.000000
0.023515,0.000131,0.024689,2.616548,100000.000000
0.024213,0.000150,0.027003,3.317007,100000.000000
0.024910,0.000171,0.030920,5.613657,100000.000000
0.026013,0.000210,0.039112,9.243875,100000.000000
0.027116,0.000259,0.051307,12.874394,100000.000000
0.028219,0.000324,0.067505,16.505125,100000.000000
0.030424,0.000521,0.111914,23.767200,100000.000000
0.032629,0.000830,0.170056,28.958469,100000.000000
0.034835,0.001273,0.233925,28.961442,100000.000000
0.039246,0.002860,0.361696,28.967386,100000.000000
0.041099,0.003628,0.416386,29.507247,100000.000000
0.042953,0.004499,0.472761,30.415981,100000.000000
0.046400,0.006305,0.580528,32.106668,100000.000000
0.049847,0.008487,0.692568,32.894625,100000.000000
0.053295,0.011056,0.805975,32.900249,100000.000000
0.060095,0.017265,1.030620,32.911338,100000.000000
0.066896,0.024998,1.256610,33.675397,100000.000000
0.073697,0.034280,1.489116,34.754421,100000.000000
0.080497,0.045151,1.726424,34.875770,100000.000000
0.087298,0.057634,1.965051,35.362827,100000.000000
0.094099,0.071738,2.205853,35.375158,100000.000000
0.100899,0.087471,2.446757,35.488921,100000.000000
0.114489,0.123792,2.928022,35.339709,100000.000000
0.128078,0.166598,3.406592,35.092302,100000.000000
0.141668,0.215835,3.879548,34.513502,100000.000000
0.157806,0.282549,4.431476,33.851005,100000.000000
0.173945,0.358056,4.976267,33.758968,100000.000000
0.190083,0.442296,5.520903,33.750504,100000.000000
0.206222,0.535278,6.065711,33.771448,100000.000000
0.236521,0.733536,7.092955,34.034549,100000.000000
0.266820,0.962813,8.124424,34.050390,100000.000000
0.289942,1.158742,8.916575,34.469862,100000.000000
0.313064,1.372972,9.716228,34.699287,100000.000000
0.336185,1.605650,10.520979,34.910857,100000.000000
0.382429,2.126823,12.143680,35.270129,100000.000000
0.409257,2.463534,13.096137,35.734907,100000.000000
0.436085,2.825864,14.064154,36.430123,100000.000000
0.458104,3.142663,14.868464,36.623727,100000.000000
0.480124,3.477131,15.677978,36.902735,100000.000000
0.502143,3.829440,16.497777,37.557955,100000.000000
0.524163,4.199798,17.326390,37.703199,100000.000000
0.527074,4.250122,17.437046,38.319762,100000.000000
0.529985,4.300768,17.549498,38.936546,100000.000000
0.532897,4.351741,17.662860,38.945357,100000.000000
0.538642,4.453947,17.886688,38.956699,100000.000000
0.544388,4.557433,18.110581,38.968038,100000.000000
0.550287,4.664369,18.340076,38.829516,100000.000000
0.556187,4.772650,18.568813,38.711009,100000.000000
0.562087,4.882273,18.797220,38.717546,100000.000000
0.573887,5.105523,19.251546,38.289603,100000.000000
0.585686,5.334085,19.702487,38.143606,100000.000000
0.597486,5.567934,20.152658,38.159066,100000.000000
0.615797,5.941281,20.850734,38.088304,100000.000000
0.634108,6.327346,21.549433,38.227013,100000.000000
0.652418,6.726168,22.251798,38.488722,100000.000000
0.679308,7.335052,23.285823,38.421012,100000.000000
0.706197,7.971618,24.322160,38.660674,100000.000000
0.727940,8.506742,25.170731,39.392523,100000.000000
0.744363,8.923127,25.817880,39.420492,100000.000000
0.760785,9.350079,26.464918,39.378914,100000.000000
0.777208,9.787615,27.113840,39.650017,100000.000000
0.795560,10.289142,27.842500,39.757696,100000.000000
0.813912,10.803994,28.573917,39.950422,100000.000000
0.832265,11.332228,29.308975,40.154564,100000.000000
0.852632,11.934274,30.129523,40.465658,100000.000000
0.856665,12.055764,30.292682,40.475948,100000.000000
0.860698,12.177907,30.455874,40.483994,100000.000000
0.867861,12.395903,30.746697,40.746963,100000.000000
0.875024,12.615972,31.039407,41.009953,100000.000000
0.882188,12.838123,31.333114,41.024493,100000.000000
0.893600,13.196357,31.800598,40.931109,100000.000000
0.905013,13.559877,32.267321,40.890174,100000.000000
0.916425,13.928674,32.733353,40.808981,100000.000000
0.945028,14.876130,33.900234,40.810023,100000.000000
0.964575,15.542702,34.703847,41.439214,100000.000000
0.984122,16.224936,35.516461,41.728568,100000.000000
1.003668,16.922967,36.333708,41.911180,100000.000000
1.025528,17.722469,37.256824,42.563621,100000.000000
1.047388,18.542118,38.192255,43.035413,100000.000000
1.063575,19.162117,38.886308,42.735061,100000.000000
1.079761,19.793240,39.577757,42.712202,100000.000000
1.095948,20.435488,40.271918,43.068577,100000.000000
1.114247,21.174985,41.056657,42.603776,100000.000000
1.132546,21.928702,41.837083,42.812316,100000.000000
1.150845,22.696679,42.629907,44.009817,100000.000000
1.164720,23.288671,43.242678,44.183406,100000.000000
1.178595,23.889093,43.851695,43.455461,100000.000000
1.190072,24.392042,44.350006,43.504993,100000.000000
1.201549,24.900679,44.851574,43.972873,100000.000000
1.213026,25.415056,45.357393,44.122495,100000.000000
1.224503,25.935223,45.867571,44.887857,100000.000000
1.235979,26.461218,46.379608,44.081786,100000.000000
1.245380,26.896400,46.793396,44.081008,100000.000000
1.254781,27.335443,47.207520,44.012682,100000.000000
1.264182,27.778364,47.624117,44.753229,100000.000000
1.273583,28.225202,48.046915,45.137931,100000.000000
1.284840,28.765492,48.555620,45.242741,100000.000000
1.296097,29.311486,49.066434,45.512997,100000.000000
